#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"Adobe Desktop Service","1","1200","514744320","130387968","122048512","900704","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe","""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe"" --onOSstartup=true --showwindow=false --waitForRegistration=true","System.Diagnostics.Process (Creative Cloud)","Adobe Inc.","1014.28125","5.10.0.573","5.10.0.573","Creative Cloud","Adobe Creative Cloud","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4136","8",,"False","4/19/2023 2:22:17 PM",,"14716",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","900704","900704","122048512","122048512","542512","542512","244252672","244252672","260947968","260947968","709246976","709246976","True","Normal","122048512","122048512","255","1",,"System.Diagnostics.ProcessThreadCollection","1200","514744320","514744320","False",,,,"130387968","130387968",,"System.Diagnostics.ProcessModule (Adobe Desktop Service.exe)","00:07:54.8125000","00:16:54.2812500","00:08:59.4687500","Adobe Desktop Service","132770","","True",,
"AdobeIPCBroker","1","223","97185792","5591040","6561792","19544","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe","""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe"" ""-launchedbyvulcan-14232 C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud.exe""","System.Diagnostics.Process (Creative Cloud)","Adobe Inc.","586.1875","7.2.0.34","7.2.0.34","Creative Cloud Interprocess Service","Adobe IPC Broker","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3832","8",,"False","4/19/2023 2:22:16 PM",,"14036",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19544","19544","6561792","6561792","136440","136440","12505088","12505088","14376960","14376960","118050816","118050816","True","Normal","6561792","6561792","255","1",,"System.Diagnostics.ProcessThreadCollection","223","97185792","97185792","False",,,,"5591040","5591040",,"System.Diagnostics.ProcessModule (AdobeIPCBroker.exe)","00:01:52.1718750","00:09:46.1875000","00:07:54.0156250","AdobeIPCBroker","0","","True",,
"AdobeNotificationClient","1","468","348340224","7995392","23769088","30096","C:\Program Files\WindowsApps\AdobeNotificationClient_3.0.1.1_x86__enpm4xejd91yc\AdobeNotificationClient.exe","""C:\Program Files\WindowsApps\AdobeNotificationClient_3.0.1.1_x86__enpm4xejd91yc\AdobeNotificationClient.exe"" -ServerName:CreativeCloud.AppXkc26ec7ewq1x9dww5fbpte7xrjdypftp.mca",,"Adobe Inc.","0.375","5.2.0.1","5.2.0.1","Adobe Notification Client","Adobe Notification Client","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4340","8",,"False","4/19/2023 2:22:33 PM",,"18440",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","30096","30096","23769088","23769088","419064","419064","23969792","23969792","37064704","37064704","350306304","350306304","True","Normal","23769088","23769088","255","1",,"System.Diagnostics.ProcessThreadCollection","468","348340224","348340224","False",,,,"7995392","7995392",,"System.Diagnostics.ProcessModule (AdobeNotificationClient.exe)","00:00:00.1875000","00:00:00.3750000","00:00:00.1875000","AdobeNotificationClient","0","","True",,
"AdobeUpdateService","0","267","94322688","4366336","3805184","15304",,,,,,,,,,"Process",,,"8",,,,,"4116",".",,,,"15304","15304","3805184","3805184","125488","125488","4743168","4743168","10514432","10514432","105316352","105316352",,,"3805184","3805184",,"0",,"System.Diagnostics.ProcessThreadCollection","267","94322688","94322688","False",,,,"4366336","4366336",,,,,,"AdobeUpdateService","0","","True",,
"AGMService","0","240","101478400","6012928","4681728","14336",,,,,,,,,,"Process",,,"8",,,,,"4188",".",,,,"14336","14336","4681728","4681728","139608","139608","5529600","5529600","12369920","12369920","141606912","141606912",,,"4681728","4681728",,"0",,"System.Diagnostics.ProcessThreadCollection","240","101478400","101478400","False",,,,"6012928","6012928",,,,,,"AGMService","0","","True",,
